image_number,original_filename,label,visible_evidence,teaching_limit,teaching_status,feature_practice_eligible,prior_audit_label,prior_audit_confidence,prior_audit_relation,supplied_reviewer_read,reviewer_reconciliation,repository_files,authored_shaffer_grade,source_pages,image_path,source_sha256
11,"ChatGPT Image Aug 14, 2026, 04_11_14 PM (11).png",Open angle with a broad posterior band,Several anterior landmarks and a broad darker posterior band are visible.,"Wide appearance does not establish myopia, aphakia or traumatic recession.",comparison,False,Open Angle No Definite Pathology,high,qualified,,,,,A: printed 39-46 / PDF 40-47; B: printed 9-16 / PDF 19-26,images/011-open-angle-with-a-broad-posterior-band.png,3983667ae412c202e65945ca3664c8a0e68511f1a0ae47c983df6726abbced67
12,"ChatGPT Image Aug 14, 2026, 04_11_14 PM (12).png",Fine iris processes,Delicate lacy strands extend from peripheral iris across the posterior angle region.,Processes can sometimes bridge the recess; indentation behavior helps distinguish them from fixed adhesions.,core_feature,True,Open Angle No Definite Pathology,high,reclassified,,,atlas_iris_processes.png,,"A: printed 47, 77 / PDF 48, 78; B: printed 16, 153 / PDF 26, 160",images/012-fine-iris-processes.png,fbf80ef75e2f7c055b2fc9511c0fbece988afc64e8ff398de51be74f06920e55
13,"ChatGPT Image Aug 14, 2026, 04_11_14 PM (13).png",Light trabecular-region pigmentation,The anterior angle band is light; fine red peripheral vessels are also visible.,The previous heavy-pigment label is unsupported; judge TM separately from the dark ciliary band.,core_feature,True,Open Angle Heavy TM Pigmentation,moderate,reclassified,Light band; reject heavy pigment,Corroborated visible finding; see image-specific limit.,atlas_pig_mild.png,,"A: printed 42-44, 88-91 / PDF 43-45, 89-92; B: printed 13, 20-21, 102-105 / PDF 23, 30-31, 109-112",images/013-light-trabecular-region-pigmentation.png,5d7534b6ebad86554b9624de8ab9c2ae41b032d0fef8b6e8c5e3c34d5c18f0b4
14,"ChatGPT Image Aug 14, 2026, 04_11_14 PM (14).png",Open-appearing angle without a focal lesion,Regular peripheral iris and continuous angle bands are present.,Normal-looking gonioscopy does not exclude glaucoma or establish its cause.,comparison,False,Open Angle No Definite Pathology,high,corroborated,,,,,A: printed 39-46 / PDF 40-47; B: printed 9-16 / PDF 19-26,images/014-open-appearing-angle-without-a-focal-lesion.png,9e9eaf220901b9d3f2cf26e361cdb7b98b26a9cbfb1e6198871296772f8d6de0
15,"ChatGPT Image Aug 14, 2026, 04_11_15 PM (15).png",Peripheral angle crowding,Peripheral iris encroaches on posterior landmarks while residual bands remain visible.,Relative narrowing is visible; mechanism and exact Shaffer grade are not measured.,comparison,False,Narrow Angle,high,qualified,,,,,A: printed 51-53 / PDF 52-54; B: printed 57-61 / PDF 65-69,images/015-peripheral-angle-crowding.png,78592da64ec28af34aec711ec8f568aa5ac2a12acb12ba5928ae45366b46e533
16,"ChatGPT Image Aug 14, 2026, 04_11_15 PM (16).png",Narrow-appearing angle with residual landmarks,Posterior structures are less exposed than in the open reference; anterior bands remain visible.,Retain the authored Grade 2 comparison designation; it is not a measured grade.,comparison,False,Open Angle Moderate TM Pigmentation,moderate,reclassified,,,atlas_closure_g2.png,2,A: printed 51-53 / PDF 52-54; B: printed 57-61 / PDF 65-69,images/016-narrow-appearing-angle-with-residual-landmarks.png,5bec73fa668d979654452a49200dffe06d33ec5a1db8b65e238f1de94be95f88
17,"ChatGPT Image Aug 14, 2026, 04_11_15 PM (17).png",Inward superior iris projections - rendering anomaly,Thick superior projections extend into the central black field while the outer angle remains exposed.,This does not depict iris adhering outward across the angle; exclude from PAS recognition.,review_only,False,Multiple Broad Peripheral Anterior Synechiae,high,reclassified,,,,,A: printed 39-48 / PDF 40-49; B: printed 9-24 / PDF 19-34,images/017-inward-superior-iris-projections-rendering-anomaly.png,8ef0f79c201931d8571d1f5ddc6553ca8cb4a5449da6dbe6d4e6e5af3668d683
18,"ChatGPT Image Aug 14, 2026, 04_11_15 PM (18).png",Irregular inward iris projections and holes - rendering anomaly,"Ragged central-facing projections, inferior holes and duplicated-looking bands disrupt the annulus.",The geometry does not securely represent extensive PAS or a named disorder.,review_only,False,Extensive Irregular Peripheral Anterior Synechiae,high,reclassified,,,,,A: printed 39-48 / PDF 40-49; B: printed 9-24 / PDF 19-34,images/018-irregular-inward-iris-projections-and-holes-rendering-anomaly.png,efef292c3508e4285b169def1397f251dbd5f2e078525265a960fe7f8c70e8ee
19,"ChatGPT Image Aug 14, 2026, 04_11_16 PM (19).png",Broad superior iris bridges,Broad pale superior bridges span the iris-angle junction with regular spacing.,Processes and PAS remain difficult to separate; repeated architectural spacing weakens realism.,review_only,False,Multiple Broad Iris Processes or PAS,low,corroborated,,,,,"A: printed 47, 77 / PDF 48, 78; B: printed 16, 153 / PDF 26, 160",images/019-broad-superior-iris-bridges.png,42d36aeeeac1d50700800a191a6f675d6fd6754b5cc6c6f7b65423fe1e8ffd87
20,"ChatGPT Image Aug 14, 2026, 04_11_16 PM (20).png",Broad iris processes or PAS,Broad superior iris-angle bridges branch posteriorly and interrupt the normal junction.,Fixed adhesion cannot be established from a still image; compare with fine processes and indentation findings.,core_feature,True,Multiple Broad Iris Processes or PAS,low,corroborated,Broad iris processes or PAS,Corroborated visible finding; see image-specific limit.,atlas_pas.png,,"A: printed 47, 77 / PDF 48, 78; B: printed 16, 153 / PDF 26, 160",images/020-broad-iris-processes-or-pas.png,f722d688e8738f29778d5a1bebf46ea0bb3aafe716034d9c0df4ec5cbd8935d4
21,"ChatGPT Image Aug 14, 2026, 04_11_16 PM (21).png",Peripheral iris atrophy with defects,A superior sheet and inferior iris defects accompany irregular peripheral iris texture.,This is broader than an isolated inferior adhesion; an ICE subtype needs additional evidence.,comparison,False,Localized Inferior Peripheral Anterior Synechia,low,reclassified,,,,,A: printed 79-81 / PDF 80-82; B: printed 149-150 / PDF 156-157,images/021-peripheral-iris-atrophy-with-defects.png,309b9105b0589e14aeef31a70d7916bafd6e82109cf456caa8ef4b2d14a0c7d3
22,"ChatGPT Image Aug 14, 2026, 04_11_16 PM (22).png",Open-appearing angle with smooth iris contour,Smooth iris contour and exposed outer landmarks are present.,A named cause of glaucoma cannot be assigned to this nonspecific appearance.,comparison,False,Open Angle No Definite Pathology,high,corroborated,,,,,A: printed 39-46 / PDF 40-47; B: printed 9-16 / PDF 19-26,images/022-open-appearing-angle-with-smooth-iris-contour.png,b8e8844e2a9605e7ee7cd7208b9e64052d58f2393955db92c8c3fbdb9e76de65
23,"ChatGPT Image Aug 14, 2026, 04_11_17 PM (23).png",Inward iris bulges - rendering anomaly,Three rounded iris bulges project centrally while outer bands remain visible.,The image does not demonstrate plateau iris or synechial closure.,review_only,False,Multifocal Peripheral Anterior Synechiae,low,reclassified,,,,,A: printed 39-48 / PDF 40-49; B: printed 9-24 / PDF 19-34,images/023-inward-iris-bulges-rendering-anomaly.png,e2ae7d4e4b473292ab7720f4e354dc5d28e5a84b5d4d91ce497e0c26b8e3f323
24,"ChatGPT Image Aug 14, 2026, 04_11_17 PM (24).png",Scalloped peripheral iris insertion,Dark recess indentations accompany a scalloped outer iris contour.,"These shapes alone do not establish ciliary cysts, pseudoplateau or PAS.",comparison,False,Small Localized Inferior PAS,low,reclassified,,,,,A: printed 79-81 / PDF 80-82; B: printed 149-150 / PDF 156-157,images/024-scalloped-peripheral-iris-insertion.png,52d3712c6cb44e305a84897522bb3fa8d90133f99ac95ef8783282ca4e7f1508
25,"ChatGPT Image Aug 14, 2026, 04_11_17 PM (25).png",Crowded angle with residual bands,"Iris approaches the outer landmarks, but several continuous bands remain visible.",Do not equate crowding with complete closure or a particular mechanism.,comparison,False,Very Narrow or Closed Angle,high,qualified,,,,,A: printed 51-53 / PDF 52-54; B: printed 57-61 / PDF 65-69,images/025-crowded-angle-with-residual-bands.png,9598a70dba55baa5443fff62cd040c5bd89b7df9afe044e7c5d67206652bfd5e
26,"ChatGPT Image Aug 14, 2026, 04_11_17 PM (26).png",Gray-brown peripheral iris surface band,A smooth gray-brown circumferential band overlies the peripheral iris.,No discrete red intramural column supports a Schlemm canal blood label.,review_only,False,Circumferential Dark Angle Band Pigment or Blood,low,reclassified,,,,,A: printed 77-82 / PDF 78-83; B: printed 147-151 / PDF 154-158,images/026-gray-brown-peripheral-iris-surface-band.png,9fa77f29c464725fe8bbdce294792315ce8a812013f40b889fc7614336ef191f
27,"ChatGPT Image Aug 14, 2026, 04_11_17 PM (27).png",Narrow-appearing peripheral angle,Posterior landmark exposure is reduced around the circumference.,"The appearance does not identify lens-related, drug-induced or other mechanisms.",comparison,False,Narrow Angle,high,corroborated,,,,,A: printed 51-53 / PDF 52-54; B: printed 57-61 / PDF 65-69,images/027-narrow-appearing-peripheral-angle.png,e467f8255bae92bdeb27ffea482546969472815c746a2930549ee00afb9a8e60
28,"ChatGPT Image Aug 14, 2026, 04_11_18 PM (28).png",Focal superior recess widening,A dark superior crescent and localized widening interrupt posterior anatomy.,Recession is possible; compare with the clearer insertion step in #106.,comparison,False,Open Angle No Definite Pathology,high,reclassified,,,,,A: printed 102-105 / PDF 103-106; B: printed 114-116 / PDF 121-123,images/028-focal-superior-recess-widening.png,752f9229ba592600981916b5075a3f0464367cfa8437eff8d948750daab79e24
29,"ChatGPT Image Aug 14, 2026, 04_11_18 PM (29).png",Central optic-like reflection with angle crowding,A blue-gray central optic edge or reflection lies within a crowded peripheral iris ring.,An IOL or pupillary-block mechanism needs context; an obstructing haptic is not shown.,comparison,False,Thin Curvilinear Intraocular Strand or Foreign Material,low,reclassified,,,,,"A: printed 108-109 / PDF 109-110; B: printed 22, 275-281 / PDF 32, 278-284",images/029-central-optic-like-reflection-with-angle-crowding.png,800b2e4b7133ae579578271d784129e9fba1e5b52035a1252dbc7fe12a45e3cc
30,"ChatGPT Image Aug 14, 2026, 04_11_18 PM (30).png",Central translucent strands,Thin translucent strands cross the central field without demonstrated angle obstruction.,Vitreous is possible; vitreous block is not established from strands alone.,comparison,False,Central Lens or Corneal Opacity Not Primary Angle Finding,low,reclassified,,,,,"A: printed 108-109 / PDF 109-110; B: printed 22, 275-281 / PDF 32, 278-284",images/030-central-translucent-strands.png,2cece5549539ad755afba82cc89bf1706927d0b711a9e520ce7142448b69b111
31,"ChatGPT Image Aug 14, 2026, 04_11_18 PM (31).png",Geometric translucent patches - rendering anomaly,Rectangular translucent peripheral patches lack natural tissue boundaries.,"Not a reliable canal-blood, membrane or implant exemplar.",review_only,False,Circumferential Red Dark Angle Band Probable Blood in Schlemm Canal,moderate,reclassified,,,,,A: printed 39-48 / PDF 40-49; B: printed 9-24 / PDF 19-34,images/031-geometric-translucent-patches-rendering-anomaly.png,9820b85f6f0b952baabe75fdd7065786de1644207db282bf725aa9bad036cbd7
32,"ChatGPT Image Aug 14, 2026, 04_11_18 PM (32).png",Superior refractile droplets,Rounded translucent droplets with bright specular borders occupy the superior peripheral region.,Silicone oil is plausible in a postoperative case; material identity is not proved by appearance alone.,core_feature,True,Multiple Superior Angle Nodules Unclassifiable,low,reclassified,,,,,"A: printed 95, 99-101 / PDF 96, 100-102; B: printed 22, 61, 107, 116 / PDF 32, 69, 114, 123",images/032-superior-refractile-droplets.png,f06a1c2ff959e2d37476ca1359b6b5f0ae71464b9e3b98fa16348ff7006249d2
33,"ChatGPT Image Aug 14, 2026, 04_11_18 PM (33).png",Superior clear bubble or meniscus,A transparent superior bubble-like region has a curved reflective border.,A reflective meniscus is not a posterior cleft without tissue separation.,comparison,False,Focal Superior Angle Cleft or Defect,low,reclassified,,,,,"A: printed 95, 99-101 / PDF 96, 100-102; B: printed 22, 61, 107, 116 / PDF 32, 69, 114, 123",images/033-superior-clear-bubble-or-meniscus.png,f828b536a5a01a846186818a466fb764939343426ad4dc12ad2d850293ef4659
34,"ChatGPT Image Aug 14, 2026, 04_11_19 PM (34).png",Iris and angle neovascularization pattern,Irregular red branching vessels at multiple clock positions cross peripheral iris and posterior angle bands.,Vessel recognition is clear; neovascular glaucoma additionally requires pressure and clinical assessment.,core_feature,True,Heavy Circumferential TM Pigmentation,high,reclassified,Red branching vessels crossing the band; neovascularisation,Corroborated visible finding; see image-specific limit.,atlas_nvg.png,,"A: printed 48, 78-79, 96-98 / PDF 49, 79-80, 97-99; B: printed 20-24, 111-112 / PDF 30-34, 118-119",images/034-iris-and-angle-neovascularization-pattern.png,a91335058db3e593f13e8c854eb96c03eca9608d7892b5019387699b17065a8a
35,"ChatGPT Image Aug 14, 2026, 04_11_19 PM (35).png",Fine vessels across the outer angle bands,"Fine irregular red vessels cross pale peripheral bands, including very anterior branches.",Vessel-plane localization is less secure than in #34; distinguish corneal vessels from NVA.,comparison,False,Heavy Circumferential TM Pigmentation,high,reclassified,,,,,"A: printed 48, 78-79, 96-98 / PDF 49, 79-80, 97-99; B: printed 20-24, 111-112 / PDF 30-34, 118-119",images/035-fine-vessels-across-the-outer-angle-bands.png,fce2fd81839a2f79b218a3f4eb6cd5931160098aaa441d8fa92dfc6b492b1e44
36,"ChatGPT Image Aug 14, 2026, 04_11_19 PM (36).png",Broad vascular iris membrane,A pale vascular sheet predominantly on image-left distorts iris and covers part of the recess.,Outer landmarks remain exposed; not a clean example of total circumferential closure.,comparison,False,Near Total Synechial Angle Closure or Membrane,low,qualified,,,,,A: printed 77-82 / PDF 78-83; B: printed 147-151 / PDF 154-158,images/036-broad-vascular-iris-membrane.png,fb208ba2559eea94ee9bbfec2660ba884b67fd882a41f302b39cf56d6fac46b5
37,"ChatGPT Image Aug 14, 2026, 04_11_19 PM (37).png",Extensive vascular membrane and angle obscuration,"Vascular tissue obscures broad superior, right and inferior sectors; some landmarks remain on image-left.",Preserve its authored Grade 0 place in the series; identify membrane and regional visibility rather than calling pure uniform apposition.,comparison,False,Sectoral Right Iris Adhesion or Angle Recession,low,reclassified,,,atlas_closure_g0.png,0,A: printed 77-82 / PDF 78-83; B: printed 147-151 / PDF 154-158,images/037-extensive-vascular-membrane-and-angle-obscuration.png,861c6b4ab193646862d9cd01cb78e4a4a56e50fe5ac513bfb9676c63e33b2334
38,"ChatGPT Image Aug 14, 2026, 04_11_19 PM (38).png",Multiple outward iris-angle adhesions,Iris-colored bridges extend toward the outer angle with pale intervals between them.,An adhesion pattern is plausible; exaggerated gaps and absent indentation limit a definitive PAS label.,comparison,False,Sectoral Left Iris Adhesion or Angle Recession,low,reclassified,,,,,"A: printed 47, 77 / PDF 48, 78; B: printed 16, 153 / PDF 26, 160",images/038-multiple-outward-iris-angle-adhesions.png,67529a4ea247b670f6b2849a3f5dc3352958b775cc74ba37c46c93e4cbf09a56
39,"ChatGPT Image Aug 14, 2026, 04_11_20 PM (39).png",Iris atrophy with a gray reflective angle band,Irregular iris and a gray reflective peripheral band interrupt normal texture.,An ICE-type process is possible; a subtype is not identifiable here.,comparison,False,Irregular Iris Atrophy or Synechial Closure,low,qualified,,,,,A: printed 79-81 / PDF 80-82; B: printed 149-150 / PDF 156-157,images/039-iris-atrophy-with-a-gray-reflective-angle-band.png,df765363f27aed76bb25e0e717228767dd7daf5a511d58a9fd2a25248fed6b08
40,"ChatGPT Image Aug 14, 2026, 04_11_20 PM (40).png",Patchy pale angle material and strands,Pale material and small strands extend around much of the angle.,Discrete localized trabeculoplasty scars are not demonstrated; not a canonical post-laser plate.,review_only,False,Focal Superior Angle Deposit,low,reclassified,,,atlas_laser.png,,A: printed 77-82 / PDF 78-83; B: printed 147-151 / PDF 154-158,images/040-patchy-pale-angle-material-and-strands.png,280d00a52ec659195b6e89e8fa1a7a7e97f4bc47268262cb05f160eb7b565d5a
41,"ChatGPT Image Aug 14, 2026, 04_11_20 PM (41).png",Subtle superior iris-angle irregularity,Small superior strands and surface irregularity accompany visible angle bands.,No clear ciliary-body widening supports recession.,review_only,False,Irregularly Widened Ciliary Body Band Possible Angle Recession,low,reclassified,,,,,"A: printed 47, 77 / PDF 48, 78; B: printed 16, 153 / PDF 26, 160",images/041-subtle-superior-iris-angle-irregularity.png,c9c97a0dd4bae4e657cad0aeb4090d4c113582df56f75772bade2859b35ea3b2
42,"ChatGPT Image Aug 14, 2026, 04_11_20 PM (42).png",Iris atrophy with focal defects,Two iris defects and irregular inner contour accompany regional tissue loss.,An atrophy pattern is visible; essential iris atrophy needs additional endothelial and clinical findings.,core_feature,True,Multiple Iris Defects or Iridectomies,low,qualified,,,,,A: printed 79-81 / PDF 80-82; B: printed 149-150 / PDF 156-157,images/042-iris-atrophy-with-focal-defects.png,6ef727307f6a5db359b37da384d23176e91000520237687bad94fd74eb7e3fa6
43,"ChatGPT Image Aug 14, 2026, 04_11_20 PM (43).png",Pigmented iris nodules with gray membrane,Large nodules and an irregular gray sheet distort iris contour.,Nodules are exaggerated; Cogan-Reese and other causes cannot be distinguished from this image alone.,review_only,False,Irregular Iris Atrophy with Nodules Unclassifiable,low,qualified,,,,,A: printed 79-81 / PDF 80-82; B: printed 149-150 / PDF 156-157,images/043-pigmented-iris-nodules-with-gray-membrane.png,c0376e31f2f70e2c064d31e8f9f88c36ce65cd7f1fb20d0533c8e66f60370f3c
44,"ChatGPT Image Aug 14, 2026, 04_11_21 PM (44).png",Multiple small pigmented iris nodules,Discrete pigmented nodules lie on iris beside an open-appearing angle.,"Do not assign Lisch nodules, Cogan-Reese syndrome or malignancy without context.",core_feature,True,Multiple Peripheral Iris Nodules or Deposits,low,corroborated,,,,,A: printed 79-81 / PDF 80-82; B: printed 149-150 / PDF 156-157,images/044-multiple-small-pigmented-iris-nodules.png,0b7668b3d3b6401f1870ac1478c25ac7a8309d30a1392deb0f7a74c4dabe63fb
45,"ChatGPT Image Aug 14, 2026, 04_11_21 PM (45).png",Superior gray membrane-like sheet,A superior translucent-to-opaque sheet changes local sheen and iris texture.,"Epithelial downgrowth, fibrosis and other membranes are not reliably distinguished.",review_only,False,Superior White Angle Material or Membrane,low,corroborated,,,,,A: printed 77-82 / PDF 78-83; B: printed 147-151 / PDF 154-158,images/045-superior-gray-membrane-like-sheet.png,6ba9c720bed9b8523c957429af8998d37396f8ba204a3492430212fc0c7d0f9f
46,"ChatGPT Image Aug 14, 2026, 04_11_21 PM (46).png",Subtle superior transparent membrane-like change,A faint superior transparent sheet or edge overlies the peripheral region.,This is not a demonstrated cleft; membrane identity requires clinical context.,review_only,False,Focal Superior Angle Cleft,low,reclassified,,,,,A: printed 77-82 / PDF 78-83; B: printed 147-151 / PDF 154-158,images/046-subtle-superior-transparent-membrane-like-change.png,c4e5905da5ecbd9bff36fafd8820a990f2f0b4d2b5599bd56d0d09c32fd784e8
47,"ChatGPT Image Aug 14, 2026, 04_11_21 PM (47).png",Dense superior vascular fibrous tissue,Pale vascular fibrous tissue occupies the superior iris-angle region.,Fibrous ingrowth needs a wound relationship; bulky texture limits canonical use.,review_only,False,Broad Superior Fibrous Angle Membrane,low,corroborated,,,,,A: printed 77-82 / PDF 78-83; B: printed 147-151 / PDF 154-158,images/047-dense-superior-vascular-fibrous-tissue.png,874222c24aa1bb0e2d5bf694e3ebe1345aa33c44985b04c8b3f34437f0802022
48,"ChatGPT Image Aug 14, 2026, 04_11_21 PM (48).png",Subtle pale superior peripheral iris patch,A faint superior pale patch contrasts with the otherwise regular angle.,"A focal finding is present, but its cause is unidentified.",review_only,False,Open Angle No Definite Pathology,high,reclassified,,,,,A: printed 77-82 / PDF 78-83; B: printed 147-151 / PDF 154-158,images/048-subtle-pale-superior-peripheral-iris-patch.png,4355384f780aeb0bcf6d2da4ec966cba681a11c621efba0897fc83f34ea264ea
49,"ChatGPT Image Aug 14, 2026, 04_11_22 PM (49).png",Two oblique peripheral sheen bands,Pale streaks occur at upper-left and lower-right with continuous outer bands.,Their plane is unclear; endothelial disease and adhesions are not established.,review_only,False,Bilateral Sectoral Fibrous Iris Adhesions,moderate,reclassified,,,,,"A: printed 38, 86 / PDF 39, 87; B: printed 151-152, 156-157 / PDF 158-159, 163-164",images/049-two-oblique-peripheral-sheen-bands.png,cadb60457277f3dd823f8553f5b1494a75845f15a77479b13a24027a516f945d
50,"ChatGPT Image Aug 14, 2026, 04_11_22 PM (50).png",Focal pale peripheral iris patch,A subtle gray-white patch lies near image-right 3 o'clock.,A specific membrane diagnosis is unsupported; this is not entirely featureless anatomy.,review_only,False,Open Angle No Definite Pathology,high,reclassified,,,,,A: printed 77-82 / PDF 78-83; B: printed 147-151 / PDF 154-158,images/050-focal-pale-peripheral-iris-patch.png,d714bce9b4dc74111020ae8159f35b6bec10c87ccbfa2b4747cc48a8b6b6d809
51,"ChatGPT Image Aug 14, 2026, 04_11_22 PM (51).png",Bulky inferior iris projection with holes - rendering anomaly,A thick inferior mound projects centrally and contains holes while outer landmarks stay exposed.,Not a PAS exemplar: the tissue does not demonstrate the intended outward adhesion.,review_only,False,Large Inferior Peripheral Anterior Synechia,low,reclassified,,,,,A: printed 39-48 / PDF 40-49; B: printed 9-24 / PDF 19-34,images/051-bulky-inferior-iris-projection-with-holes-rendering-anomaly.png,358352359fd5537509aeee9e0dd844245bae2c03d54e03a7f4c8e23160ed4e32
52,"ChatGPT Image Aug 14, 2026, 04_11_22 PM (52).png",Repeated inferior oval defects - rendering anomaly,Large repeated dark oval openings occupy a pale inferior band outside the orange iris.,The repeated openings have no secure anatomic interpretation.,review_only,False,Small Inferior Iris Defects or Clefts,low,reclassified,,,,,A: printed 39-48 / PDF 40-49; B: printed 9-24 / PDF 19-34,images/052-repeated-inferior-oval-defects-rendering-anomaly.png,3bf28d29136ce9b39e41919ebbb67717a4798be84ed223d04d12dd92490397b6
53,"ChatGPT Image Aug 14, 2026, 04_11_22 PM (53).png",Inferior slit-like defects - rendering anomaly,Dark slits remain within an abnormal pale inferior band.,"These are not demonstrated iridotomies, inflammatory PAS or a cyclodialysis cleft.",review_only,False,Localized Inferior Iris Adhesion or Defect,low,reclassified,,,,,A: printed 39-48 / PDF 40-49; B: printed 9-24 / PDF 19-34,images/053-inferior-slit-like-defects-rendering-anomaly.png,0ffae8ba0aae0472a12e47392620e0760cef64bd8d0a78bc8ab64d90eb89339a
54,"ChatGPT Image Aug 14, 2026, 04_11_23 PM (54).png",Irregular pale inferior iris-angle band,A low granular band with dark pits interrupts the inferior iris-angle junction.,Adhesion versus deposits is unresolved; not a clean PAS calibration image.,review_only,False,Localized Inferior Iris Adhesion or Defect,low,qualified,,,,,"A: printed 47, 77 / PDF 48, 78; B: printed 16, 153 / PDF 26, 160",images/054-irregular-pale-inferior-iris-angle-band.png,45a1d9c8ba44de81eb586697340b9be860ffb0996aa86d3d827cf3ea5f711a18
